floor,zone,time,type,value,plotx,ploty
0,7,2018-12-11 14:54:12,ultraSound,248.0,200,50
0,7,2018-12-11 14:53:59,Temperature,23.0,200,50
0,7,2018-12-11 14:53:39,Humidity,24.0,200,50
0,7,2018-12-11 14:53:50,Sound,194.0,200,50
0,7,2018-12-11 14:54:25,Light,180.0,200,50
2,6,2018-12-11 14:54:15,ultraSound,517.0,2,6
2,6,2018-12-11 14:53:28,Temperature,24.0,2,6
2,6,2018-12-11 14:53:57,Humidity,27.0,2,6
2,6,2018-12-11 14:53:29,Sound,237.0,2,6
2,6,2018-12-11 14:54:25,Light,233.0,2,6
1,9,2018-12-11 14:53:41,ultraSound,247.0,1,9
1,9,2018-12-11 14:53:42,Temperature,25.0,1,9
1,9,2018-12-11 14:54:04,Humidity,10.0,1,9
1,9,2018-12-11 14:53:43,Sound,331.0,1,9
1,9,2018-12-11 14:54:22,Light,294.0,1,9
1,10,2018-12-11 14:53:59,ultraSound,516.0,1,10
1,10,2018-12-11 14:54:03,Temperature,24.0,1,10
1,10,2018-12-11 14:53:26,Humidity,25.0,1,10
1,10,2018-12-11 14:53:40,Sound,283.0,1,10
1,10,2018-12-11 14:54:19,Light,183.0,1,10
0,2,2018-12-11 14:53:38,ultraSound,249.0,200,150
0,2,2018-12-11 14:53:57,Temperature,19.0,200,150
0,2,2018-12-11 14:53:30,Humidity,15.0,200,150
0,2,2018-12-11 14:53:37,Sound,331.0,200,150
0,2,2018-12-11 14:54:16,Light,205.0,200,150
0,0,2018-12-11 14:54:19,available seats,231.0,0,150
0,0,2018-12-11 14:54:19,max available seats,805.0,0,150
2,3,2018-12-11 14:53:44,ultraSound,251.0,2,3
2,3,2018-12-11 14:54:23,Temperature,25.0,2,3
2,3,2018-12-11 14:53:46,Humidity,23.0,2,3
2,3,2018-12-11 14:54:14,Sound,252.0,2,3
2,3,2018-12-11 14:54:22,Light,181.0,2,3
2,8,2018-12-11 14:53:41,ultraSound,250.0,2,8
2,8,2018-12-11 14:53:57,Temperature,24.0,2,8
2,8,2018-12-11 14:54:05,Humidity,12.0,2,8
2,8,2018-12-11 14:54:09,Sound,255.0,2,8
2,8,2018-12-11 14:54:23,Light,159.0,2,8
2,2,2018-12-11 14:53:48,ultraSound,76.0,2,2
2,2,2018-12-11 14:54:21,Temperature,25.0,2,2
2,2,2018-12-11 14:53:33,Humidity,11.0,2,2
2,2,2018-12-11 14:54:09,Sound,214.0,2,2
2,2,2018-12-11 14:54:23,Light,155.0,2,2
2,1,2018-12-11 14:53:42,ultraSound,250.0,2,1
2,1,2018-12-11 14:54:04,Temperature,24.0,2,1
2,1,2018-12-11 14:54:06,Humidity,0.0,2,1
2,1,2018-12-11 14:54:20,Sound,285.0,2,1
2,1,2018-12-11 14:54:20,Light,189.0,2,1
1,7,2018-12-11 14:54:05,ultraSound,248.0,1,7
1,7,2018-12-11 14:53:38,Temperature,25.0,1,7
1,7,2018-12-11 14:53:57,Humidity,0.0,1,7
1,7,2018-12-11 14:54:11,Sound,291.0,1,7
1,7,2018-12-11 14:54:19,Light,339.0,1,7
0,8,2018-12-11 14:54:10,ultraSound,514.0,100,50
0,8,2018-12-11 14:53:33,Temperature,22.0,100,50
0,8,2018-12-11 14:53:34,Humidity,0.0,100,50
0,8,2018-12-11 14:53:59,Sound,242.0,100,50
0,8,2018-12-11 14:54:21,Light,340.0,100,50
0,6,2018-12-11 14:53:40,ultraSound,248.0,300,50
0,6,2018-12-11 14:54:05,Temperature,22.0,300,50
0,6,2018-12-11 14:53:42,Humidity,12.0,300,50
0,6,2018-12-11 14:53:43,Sound,255.0,300,50
0,6,2018-12-11 14:54:25,Light,234.0,300,50
1,2,2018-12-11 14:53:38,ultraSound,248.0,1,2
1,2,2018-12-11 14:53:56,Temperature,23.0,1,2
1,2,2018-12-11 14:53:40,Humidity,22.0,1,2
1,2,2018-12-11 14:53:26,Sound,253.0,1,2
1,2,2018-12-11 14:54:23,Light,292.0,1,2
