floor,zone,time,type,value
1,10,2018-12-03T20:32:04.090005,ultraSound,516.0
1,10,2018-12-03T20:31:47.703225,Temperature,23.0
1,10,2018-12-03T20:31:41.811914,Humidity,34.0
1,10,2018-12-03T20:31:38.719666,Sound,283.0
1,10,2018-12-03T20:32:35.113416,Light,220.0
2,8,2018-12-03T20:31:58.470241,ultraSound,250.0
2,8,2018-12-03T20:32:03.079542,Temperature,23.0
2,8,2018-12-03T20:32:39.18938,Humidity,92.0
2,8,2018-12-03T20:31:54.094194,Sound,238.0
2,8,2018-12-03T20:32:36.503772,Light,133.0
2,6,2018-12-03T20:32:32.237604,ultraSound,251.0
2,6,2018-12-03T20:31:54.845586,Temperature,24.0
2,6,2018-12-03T20:31:45.454086,Humidity,38.0
2,6,2018-12-03T20:32:31.361478,Sound,236.0
2,6,2018-12-03T20:32:35.268978,Light,208.0
0,0,2018-12-03T20:32:05.659,available seats,541.0
0,0,2018-12-03T20:32:05.659,max available seats,805.0
2,3,2018-12-03T20:32:32.911162,ultraSound,252.0
2,3,2018-12-03T20:32:20.019233,Temperature,24.0
2,3,2018-12-03T20:31:39.128196,Humidity,39.0
2,3,2018-12-03T20:32:39.035831,Sound,231.0
2,3,2018-12-03T20:32:35.943001,Light,161.0
0,7,2018-12-03T20:32:33.618051,ultraSound,248.0
0,7,2018-12-03T20:31:49.231657,Temperature,23.0
0,7,2018-12-03T20:32:32.334831,Humidity,34.0
0,7,2018-12-03T20:31:43.747317,Sound,186.0
0,7,2018-12-03T20:32:33.149533,Light,177.0
0,2,2018-12-03T20:32:11.944369,ultraSound,249.0
0,2,2018-12-03T20:32:13.052782,Temperature,19.0
0,2,2018-12-03T20:32:00.160626,Humidity,15.0
0,2,2018-12-03T20:32:07.568603,Sound,321.0
0,2,2018-12-03T20:32:39.475313,Light,168.0
1,9,2018-12-03T20:32:06.687939,ultraSound,248.0
1,9,2018-12-03T20:32:21.795086,Temperature,24.0
1,9,2018-12-03T20:32:33.403863,Humidity,11.0
1,9,2018-12-03T20:31:48.311558,Sound,314.0
1,9,2018-12-03T20:32:34.219062,Light,296.0
2,2,2018-12-03T20:32:13.560985,ultraSound,250.0
2,2,2018-12-03T20:32:25.167432,Temperature,24.0
2,2,2018-12-03T20:31:54.778629,Humidity,12.0
2,2,2018-12-03T20:32:30.183063,Sound,196.0
2,2,2018-12-03T20:32:37.589891,Light,172.0
0,6,2018-12-03T20:32:20.100606,ultraSound,249.0
0,6,2018-12-03T20:31:56.715239,Temperature,22.0
0,6,2018-12-03T20:32:15.317131,Humidity,12.0
0,6,2018-12-03T20:31:58.230432,Sound,249.0
0,6,2018-12-03T20:32:33.628388,Light,223.0
1,7,2018-12-03T20:31:57.104767,ultraSound,249.0
1,7,2018-12-03T20:32:26.210743,Temperature,24.0
1,7,2018-12-03T20:32:06.320589,Humidity,0.0
1,7,2018-12-03T20:32:17.227064,Sound,278.0
1,7,2018-12-03T20:32:38.632825,Light,320.0
1,2,2018-12-03T20:32:06.94378,ultraSound,249.0
1,2,2018-12-03T20:32:18.549659,Temperature,22.0
1,2,2018-12-03T20:32:05.660754,Humidity,30.0
1,2,2018-12-03T20:31:45.076728,Sound,232.0
1,2,2018-12-03T20:32:37.963635,Light,288.0
2,1,2018-12-03T20:32:26.867863,ultraSound,251.0
2,1,2018-12-03T20:31:45.973341,Temperature,23.0
2,1,2018-12-03T20:32:11.583461,Humidity,0.0
2,1,2018-12-03T20:31:43.988718,Sound,292.0
2,1,2018-12-03T20:32:29.899746,Light,154.0
0,8,2018-12-03T20:32:03.292392,ultraSound,513.0
0,8,2018-12-03T20:32:11.400444,Temperature,22.0
0,8,2018-12-03T20:32:09.008702,Humidity,0.0
0,8,2018-12-03T20:31:58.916478,Sound,237.0
0,8,2018-12-03T20:32:37.817945,Light,262.0
1,4,2018-12-03T20:32:05.726279,ultraSound,518.0
1,4,2018-12-03T20:32:34.836493,Temperature,22.0
1,4,2018-12-03T20:32:11.444072,Humidity,14.0
1,4,2018-12-03T20:31:54.350131,Sound,349.0
1,4,2018-12-03T20:32:36.759861,Light,318.0
